dataset,method,sequence,frames,evaluated_frames,absent_frames,success_auc,average_overlap,sr_0.50,sr_0.75,precision_10px,precision_20px,normalized_precision_auc,mean_iou,mean_center_error_px,median_center_error_px,rmse_center_error_px,iou_lt_0.1
UAV2UAV,SafeCL-IMMTrack,test6_DJI_0103_3,103,103,0,0.05686546463245492,0.01444727383109947,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.009708737864077667,0.01444727383109947,996.6014061545335,794.9930050756956,1174.7868732655097,0.9902912621359223
UAV2UAV,SafeCL-IMMTrack,test6_DJI_0103_4,1566,1566,0,0.7344158608526425,0.7428116161335401,0.8659003831417624,0.7554278416347382,0.7515964240102171,0.8473818646232439,0.7679362932912629,0.7428116161335401,110.67806098920202,3.78720821605574,318.5235390185264,0.12324393358876118
UAV2UAV,SafeCL-IMMTrack,test6_DJI_0103_5,1051,1051,0,0.7337229849123285,0.742714580662805,0.8534728829686014,0.7354900095147479,0.6679352997145576,0.7602283539486203,0.7599858211600529,0.742714580662805,108.14322681838576,4.875667285413887,312.42290707176664,0.11988582302568981
UAV2UAV,SafeCL-IMMTrack,test7_DJI_0106_1,768,768,0,0.8886408730158729,0.9072047248526313,0.9869791666666666,0.9557291666666666,0.7942708333333334,0.9270833333333334,0.9226154003267976,0.9072047248526313,8.406150249405067,5.08398763797738,15.713158809430299,0.006510416666666667
UAV2UAV,SafeCL-IMMTrack,test7_DJI_0106_2,243,243,0,0.8728199098569469,0.8907773867780656,0.9794238683127572,0.934156378600823,0.8683127572016461,0.9465020576131687,0.9174534011135319,0.8907773867780656,6.396703514282135,4.081883450953992,10.196639242502862,0.0
UAV2UAV,SafeCL-IMMTrack,test7_DJI_0106_3,446,446,0,0.8821268417680976,0.9003870711369478,1.0,0.9192825112107623,0.8632286995515696,0.9596412556053812,0.9111052492745978,0.9003870711369478,5.662393841522669,3.7897095383884505,8.138607074976653,0.0
UAV2UAV,SafeCL-IMMTrack,test8_DJI_0107_1,1683,1683,0,0.6363353422176952,0.6384836549773366,0.768270944741533,0.5923945335710041,0.5246583481877599,0.7296494355317885,0.709890135495672,0.6384836549773366,270.657906628182,9.501609238685669,619.2836992079375,0.2073677956030897
UAV2UAV,SafeCL-IMMTrack,test8_DJI_0107_2,251,251,0,0.7727186492126732,0.7852546339101627,1.0,0.7450199203187251,0.7689243027888446,0.9880478087649402,0.91289742988829,0.7852546339101627,7.191006244604985,6.566230090378102,8.190980761558661,0.0
UAV2UAV,SafeCL-IMMTrack,test8_DJI_0107_3,459,459,0,0.8306878306878306,0.8473052630505502,1.0,0.9433551198257081,0.4400871459694989,0.9019607843137255,0.9320346875133495,0.8473052630505502,11.841350349377237,11.059543556279085,13.604145174894942,0.0
UAV2UAV,SafeCL-IMMTrack,test9_DJI_0192_1,171,171,0,0.7783347257031468,0.7923430403971261,1.0,0.7076023391812866,1.0,1.0,0.9270725834193326,0.7923430403971261,1.8422818680147237,1.8190709122251187,2.046853163445973,0.0
UAV2UAV,SafeCL-IMMTrack,test9_DJI_0192_2,52,52,0,0.7600732600732601,0.7722004300307971,1.0,0.6538461538461539,0.5961538461538461,0.8076923076923077,0.863499245852187,0.7722004300307971,10.30669545164626,6.5047232657330465,13.034410713220423,0.0
UAV2UAV,SafeCL-IMMTrack,test9_DJI_0192_3,1001,1001,0,0.5915988773131629,0.5959948265138838,0.7242757242757243,0.17382617382617382,0.6343656343656343,0.9200799200799201,0.8492683786801435,0.5959948265138838,10.303945872280792,8.29659114838887,13.763770266752182,0.000999000999000999
UAV2UAV,SafeCL-IMMTrack,test9_DJI_0192_4,4521,4521,0,0.632656070612275,0.6391935852470791,0.856226498562265,0.22627737226277372,0.8907321389073214,0.9896040698960407,0.8514297114554735,0.6391935852470791,5.2827181519470034,3.989742379103321,8.984360607682994,0.0019907100199071004
