dataset,sequence_id,sequence,method,evaluated_frames,success_auc
UAV2UAV-2,S43,test8_DJI_0107_2,RLSM-IMMTrack,251,0.7727186492126732
UAV2UAV-2,S44,test8_DJI_0107_3,SUTrack-B224,459,0.8306878306878306
UAV2UAV-2,S44,test8_DJI_0107_3,ARTrackV2-B-256,459,0.829546633468202
UAV2UAV-2,S44,test8_DJI_0107_3,MCITrack-B224,459,0.8590102707749766
UAV2UAV-2,S44,test8_DJI_0107_3,UETrack-B,459,0.8262267870111005
UAV2UAV-2,S44,test8_DJI_0107_3,RLSM-IMMTrack,459,0.8288204170557114
UAV2UAV-2,S45,test9_DJI_0192_1,SUTrack-B224,171,0.7783347257031468
UAV2UAV-2,S45,test9_DJI_0192_1,ARTrackV2-B-256,171,0.7571707045391255
UAV2UAV-2,S45,test9_DJI_0192_1,MCITrack-B224,171,0.797270955165692
UAV2UAV-2,S45,test9_DJI_0192_1,UETrack-B,171,0.7521581732108048
UAV2UAV-2,S45,test9_DJI_0192_1,RLSM-IMMTrack,171,0.7783347257031468
UAV2UAV-2,S46,test9_DJI_0192_2,SUTrack-B224,52,0.7600732600732601
UAV2UAV-2,S46,test9_DJI_0192_2,ARTrackV2-B-256,52,0.6474358974358976
UAV2UAV-2,S46,test9_DJI_0192_2,MCITrack-B224,52,0.7591575091575093
UAV2UAV-2,S46,test9_DJI_0192_2,UETrack-B,52,0.7005494505494505
UAV2UAV-2,S46,test9_DJI_0192_2,RLSM-IMMTrack,52,0.7591575091575092
UAV2UAV-2,S47,test9_DJI_0192_3,SUTrack-B224,1001,0.5915988773131629
UAV2UAV-2,S47,test9_DJI_0192_3,ARTrackV2-B-256,1001,0.5396032538889681
UAV2UAV-2,S47,test9_DJI_0192_3,MCITrack-B224,1001,0.5392226820798248
UAV2UAV-2,S47,test9_DJI_0192_3,UETrack-B,1001,0.5546834118262689
UAV2UAV-2,S47,test9_DJI_0192_3,RLSM-IMMTrack,1001,0.5915988773131629
UAV2UAV-2,S48,test9_DJI_0192_4,SUTrack-B224,4521,0.632656070612275
UAV2UAV-2,S48,test9_DJI_0192_4,ARTrackV2-B-256,4521,0.4273601499878872
UAV2UAV-2,S48,test9_DJI_0192_4,MCITrack-B224,4521,0.6451164407368788
UAV2UAV-2,S48,test9_DJI_0192_4,UETrack-B,4521,0.42324180280384655
UAV2UAV-2,S48,test9_DJI_0192_4,RLSM-IMMTrack,4521,0.6358159277867307
UAV2UAV-2,S49,test9_DJI_0192_5,SUTrack-B224,1669,0.4912265685183602
UAV2UAV-2,S49,test9_DJI_0192_5,ARTrackV2-B-256,1669,0.4204399554908843
UAV2UAV-2,S49,test9_DJI_0192_5,MCITrack-B224,1669,0.276898057005906
UAV2UAV-2,S49,test9_DJI_0192_5,UETrack-B,1669,0.4796142543296529
UAV2UAV-2,S49,test9_DJI_0192_5,RLSM-IMMTrack,1669,0.49228223344460614
A2A-UAV-Tracking,V01,video01,SUTrack-B224,2634,0.816411758325198
A2A-UAV-Tracking,V01,video01,ARTrackV2-B-256,2634,0.7082655385616663
A2A-UAV-Tracking,V01,video01,MCITrack-B224,2634,0.790740138120548
A2A-UAV-Tracking,V01,video01,UETrack-B,2634,0.7885707054271975
A2A-UAV-Tracking,V01,video01,RLSM-IMMTrack,2634,0.816411758325198
A2A-UAV-Tracking,V02,video02,SUTrack-B224,1901,0.8670874978081713
A2A-UAV-Tracking,V02,video02,ARTrackV2-B-256,1901,0.8798627288895569
A2A-UAV-Tracking,V02,video02,MCITrack-B224,1901,0.8685153177525615
A2A-UAV-Tracking,V02,video02,UETrack-B,1901,0.8608000801583126
A2A-UAV-Tracking,V02,video02,RLSM-IMMTrack,1901,0.8670874978081713
A2A-UAV-Tracking,V03,video03,SUTrack-B224,503,0.7599166903341854
A2A-UAV-Tracking,V03,video03,ARTrackV2-B-256,503,0.7740225314778
A2A-UAV-Tracking,V03,video03,MCITrack-B224,503,0.7590646596610812
A2A-UAV-Tracking,V03,video03,UETrack-B,503,0.7688156773643852
A2A-UAV-Tracking,V03,video03,RLSM-IMMTrack,503,0.7599166903341854
A2A-UAV-Tracking,V04,video04,SUTrack-B224,398,0.7379755922469491
A2A-UAV-Tracking,V04,video04,ARTrackV2-B-256,398,0.7546063651591289
A2A-UAV-Tracking,V04,video04,MCITrack-B224,398,0.7458722182340274
A2A-UAV-Tracking,V04,video04,UETrack-B,398,0.741564967695621
A2A-UAV-Tracking,V04,video04,RLSM-IMMTrack,398,0.7379755922469491
A2A-UAV-Tracking,V05,video05,SUTrack-B224,2451,0.7886382623224728
A2A-UAV-Tracking,V05,video05,ARTrackV2-B-256,2451,0.8134677779720618
A2A-UAV-Tracking,V05,video05,MCITrack-B224,2451,0.8404149909657865
A2A-UAV-Tracking,V05,video05,UETrack-B,2451,0.7649161663849546
A2A-UAV-Tracking,V05,video05,RLSM-IMMTrack,2451,0.788813118066484
A2A-UAV-Tracking,V06,video06,SUTrack-B224,422,0.8833220491988265
A2A-UAV-Tracking,V06,video06,ARTrackV2-B-256,422,0.8780185059805913
A2A-UAV-Tracking,V06,video06,MCITrack-B224,422,0.8807266982622434
A2A-UAV-Tracking,V06,video06,UETrack-B,422,0.8885127510719929
A2A-UAV-Tracking,V06,video06,RLSM-IMMTrack,422,0.8833220491988265
A2A-UAV-Tracking,V07,video07,SUTrack-B224,1602,0.7204090125438439
A2A-UAV-Tracking,V07,video07,ARTrackV2-B-256,1602,0.7256405683371976
A2A-UAV-Tracking,V07,video07,MCITrack-B224,1602,0.7023363652577136
A2A-UAV-Tracking,V07,video07,UETrack-B,1602,0.689198026276678
A2A-UAV-Tracking,V07,video07,RLSM-IMMTrack,1602,0.7203495630461922
A2A-UAV-Tracking,V08,video08,SUTrack-B224,2144,0.8534115138592752
A2A-UAV-Tracking,V08,video08,ARTrackV2-B-256,2144,0.8502798507462688
A2A-UAV-Tracking,V08,video08,MCITrack-B224,2144,0.8425728500355366
A2A-UAV-Tracking,V08,video08,UETrack-B,2144,0.8310678749111585
A2A-UAV-Tracking,V08,video08,RLSM-IMMTrack,2144,0.8534115138592752
A2A-UAV-Tracking,V09,video09,SUTrack-B224,1273,0.8793625855683987
A2A-UAV-Tracking,V09,video09,ARTrackV2-B-256,1273,0.8685519769573188
A2A-UAV-Tracking,V09,video09,MCITrack-B224,1273,0.8736767291362737
A2A-UAV-Tracking,V09,video09,UETrack-B,1273,0.8518310702128457
A2A-UAV-Tracking,V09,video09,RLSM-IMMTrack,1273,0.8793625855683987
A2A-UAV-Tracking,V10,video10,SUTrack-B224,1177,0.8763603997248859
A2A-UAV-Tracking,V10,video10,ARTrackV2-B-256,1177,0.8698062062548045
A2A-UAV-Tracking,V10,video10,MCITrack-B224,1177,0.8712626936926003
A2A-UAV-Tracking,V10,video10,UETrack-B,1177,0.8699680381923371
A2A-UAV-Tracking,V10,video10,RLSM-IMMTrack,1177,0.8763603997248859
A2A-UAV-Tracking,V11,video11,SUTrack-B224,2642,0.8414801196784542
A2A-UAV-Tracking,V11,video11,ARTrackV2-B-256,2642,0.862712230993836
A2A-UAV-Tracking,V11,video11,MCITrack-B224,2642,0.8362712230993836
A2A-UAV-Tracking,V11,video11,UETrack-B,2642,0.856764356007354
A2A-UAV-Tracking,V11,video11,RLSM-IMMTrack,2642,0.8414801196784542
A2A-UAV-Tracking,V12,video12,SUTrack-B224,504,0.840702947845805
A2A-UAV-Tracking,V12,video12,ARTrackV2-B-256,504,0.8137755102040813
A2A-UAV-Tracking,V12,video12,MCITrack-B224,504,0.8369236583522296
A2A-UAV-Tracking,V12,video12,UETrack-B,504,0.8138699924414212
A2A-UAV-Tracking,V12,video12,RLSM-IMMTrack,504,0.840702947845805
A2A-UAV-Tracking,V13,video13,SUTrack-B224,570,0.794235588972431
A2A-UAV-Tracking,V13,video13,ARTrackV2-B-256,570,0.7624895572263994
A2A-UAV-Tracking,V13,video13,MCITrack-B224,570,0.8154553049289893
A2A-UAV-Tracking,V13,video13,UETrack-B,570,0.7893065998329156
A2A-UAV-Tracking,V13,video13,RLSM-IMMTrack,570,0.794235588972431
A2A-UAV-Tracking,V14,video14,SUTrack-B224,1383,0.8330406638432668
A2A-UAV-Tracking,V14,video14,ARTrackV2-B-256,1383,0.878077333608787
